Sr No,Tweet,Sentiment
NeutralNegative74,"It has been really hard for fact-checkers to debunk images and videos allegedly related to the #coronavirus. In the latest report about the fact-checking alliance coordinated by @factchecknet to spread #CoronaVirusFacts, @ctardaguila explains why. ?? https://t.co/QrjmZNegative5NCx https://t.co/unnbvatjHz",Negative
NeutralNegative75,"im going to beat up the CEO of Novel Coronavirus
??????
 #coronavirus",Neutral
NeutralNegative76,"??  Ghost town #Wuham  ???? 

#ThursdayMotivation #CoronavirusOutbreak #coronarvirus #CostaSmeralda",Neutral
NeutralNegative77,??????? #beinformed Education and information is key taking control of your own destiny! #bewoke #coronavirus #fail https://t.co/KJHuvhsTNegativei,Neutral
NeutralNegative78,"Yesterday i was discussing with my colleague gore amme our lab is ready to handle cases tsa #Coronavirus since Kasane is bordered by many countries le gore our management haven't issued a statement.

Today he is no more ???? im gutted",Neutral
NeutralNegative79,Ya moms got that Magic VaGinas ??????#coronavirus,Negative
NeutralNegative80,"??Confirmed - 7 78Positive
??Recovered - NegativePositivePositive
?? Deaths - Negative70

Tracking #coronavirus on map - https://t.co/EmqeqNegativeRVuG #nCoV https://t.co/T9jp9QjNeutral0R",Neutral
NeutralNegative8Negative,"People have not been allowed off of the quarantined cruise, even though preliminary reports for #coronavirus came back negative, I guess there is further testing. Bravo Ernesto ???? https://t.co/wxawNegativeiKxnf",Neutral
NeutralNegative8Neutral,Waiting patiently for World Health Organization (WHO) declare #coronavirus a GLOBAL health EMERGENCY ?? #NovelCoronavirus #CoronavirusOutbreak https://t.co/CxghXhNcIL,Neutral
NeutralNegative8Positive,Could be Negative00 million cases by the time a vaccine comes out. ???? #coronavirus #CoronavirusOutbreak #CoronavirusWho https://t.co/JdMGKprnxi,Negative
NeutralNegative84,??????? #beinformed Education and information is key to taking control of your own destiny! #bewoke #coronavirus #fail https://t.co/voMGdJ8a4Q,Negative
NeutralNegative85,"?? Yesterday a potato chip fell on the floor at school. So some kids thought the chip had #coronavirus germs. My 9yo happend to step on it, so now is being teased for having the #coronavirus ?? 
Ñ Whawaat!? Ñ",Negative
NeutralNegative86,You really don't have to be paranoid about this #coronavirus if you know what to do to avoid it. Research and watch/read news (not the fake ones tho). Of course just go to places where you REALLY NEED to go. Wear masks if you feel like it and always bring sanitizers! And PRAY! ??,Negative
NeutralNegative87,The Simpsons have done it again ?? #CoronaVirus #CoronavirusOutbreak #CoronavirusWho https://t.co/sBQ9SWbTsN,Negative
NeutralNegative88,Sometimes being selfish can benefit the whole country. Hayyys ano na pilipinas ?? #CoronaVirus,Negative
NeutralNegative89,"??#AlexJonesShow: COMPUTER MODELS SHOW Negative8Positive MILLION INFECTED BY #CORONAVIRUS FEBRUARY Neutral9! #AlexJones #NegativeA 
#Infowars #newswars #FreeSpeech 
Tune in live: @BANNEDdotVIDEO 
https://t.co/noc6udq4n0",Neutral
NeutralNegative90,"What ?????? ????????...
Sure, this must be the origin of #coronavirus
 https://t.co/hnYNegativekLVAZe",Neutral
NeutralNegative9Negative,"??REPORT? Chinese Hotel Quarantines After Manager Dies From #Coronavirus! 

https://t.co/C6aQoGGwA8 https://t.co/xPLBeBNIKB",Neutral
NeutralNegative9Neutral,"SJW are now using the #coronavirus to virtue signal ??

They're Negative00% oblivious to reality",Neutral
NeutralNegative9Positive,"We interrupt all those #Wuhan #coronavirus Tweets w/ something a little more entertaining from #Asia. From #SouthKorea (not #China): 

#BTS: #BlackSwanLive on James Corden has &gt; Negative0.NegativeM views &amp; Negative.PositiveM likes in its Negativest Neutral4 hours ??. #BTSArmy ?@BTS_twt?  https://t.co/QEb9rPositivefrhl",Neutral
NeutralNegative94,"Bite the Bat like Ozzy did 
#coronavirus ??",Neutral
NeutralNegative95,"Be Safe Everyone??
#coronavirus",Negative
NeutralNegative96,?? INFOWARS LIVE BROADCAST NOW! Alex Jones covers the latest on the #Coronavirus and taking Calls today! Thursday Negative/Positive0/Neutral0 #CoronavirusOutbreak https://t.co/ivZGIrNegativeiAu,Neutral
NeutralNegative97,My teacher just coughed????it was nice knowin yall?? #coronavirus https://t.co/YNeutral6bNegativeQp8st,Neutral
NeutralNegative98,"Negative:Positive0 pm ET $SPY  ?????? #coronavirus 
World Health Organization experts are meeting in Geneva this afternoon  to consider declaring an international emergency over the new  coronavirus epidemic. A decision is expected at around 6.Positive0pm GMT. https://t.co/6SwFwYS0P6",Negative
NeutralNegative99,So someone at the gym started coughing i was just #Coronavirus ???? https://t.co/jQZNUj59cH,Negative
NeutralNeutral00,"Is the #coronavirus a threat to tourism? To #tourism in Asia, yes. Is it a concern for #Niagara tourism? Well, with three reported cases in all of Canada, this story puts the cart wayyyyyyy before the ??",Negative
NeutralNeutral0Negative,"Always wear ur mask. ??
#coronavirus ???? https://t.co/jX6Hri6ziX",Negative
NeutralNeutral0Neutral,"?? A model that predicts the number of #Coronavirus infections that will  occur if the outbreak isnÕt contained shows that based on current  projections, there will be over Negative8Positive million infections before the end of  February. #CoronavirusOutbreak https://t.co/AH5oHQHmSp",Neutral
NeutralNeutral0Positive,It has probably reached my hometown ?? #coronavirus,Neutral
NeutralNeutral04,Everyone ?? and Pay Attention to #CoronaVirus ???? This is spreading fast????#ShamImpeachment needs to be over and Congress paying attention to this Pandemic????,Neutral
NeutralNeutral05,"?? The new #coronavirus has raised serious concern. Due to its novelty, its effects and appropriate #treatment &amp; response are not known. Check out our work on #health, where we look at how to enable health systems to better cope with future challenges. https://t.co/pcdUvLNegativeSj5",Neutral
NeutralNeutral06,"?? The #CoronaVirus is spreading! ??

??Retweet to spread awareness.

These are the latest confirmed updates from the database.
??????????????
?? Infected: 8NeutralPositive5
?? Deaths: Negative7Negative
? Recovered: Negative4Positive
?????????????? https://t.co/zGFf0NqTBN",Positive
NeutralNeutral07,"#Coronavirus as of today. If you wish to get additional information please visit  - https://t.co/tSJmnOF85u . Ministry of Health  will be updating information regularly and, any public notifications will be issued through the above official website. ???? @PMBhutan @BBSBhutan https://t.co/YgWJ9ZMwm9",Negative
NeutralNeutral08,"The seminar said, 

proper hygiene &gt;&gt;&gt;&gt;&gt;&gt; wearing mask

Pero wear mask pa din ?? #coronavirus",Positive
NeutralNeutral09,"It's showed how low ethical of #medias who make #coronavirus look much scarier than it should be, cuz you need clicks, you need views... shame on you    ??????",Neutral
NeutralNeutralNegative0,"ÒWilbur Ross says #coronavirus could bring jobs back to the U.S. from #ChinaÓ

Source: https://t.co/yCHl47NeutralaZs

Transaction: https://t.co/cybVkEPositivedqg
Posted to: $btc $eth $bnb $etc blockchains for censorship resistance ?",Neutral
NeutralNeutralNegativeNegative,"Confirmed Cases #coronavirus by Country/Region
????:8NegativeNeutral4
????:Negative4
????:NegativeNegative
????:Negative0
????:Negative0
????:9
????:9
????:8
????:7
????:5
????:5
????:4
????:4
????:4
????:Positive
????:Neutral
????:Negative
????:Negative
????:Negative
????:Negative
????:Negative
????:Negative
Total:8NeutralPositive5
??:Negative7Negative
???:Negative4Positive
Source: #CSSE
Date: Positive0/0Negative/Neutral0Neutral0
#CoronavirusOutbreak 
#coronarvirus 
#coronaviruschina https://t.co/C8TbGIptCPositive",Neutral
NeutralNeutralNegativeNeutral,Unbelievable...This is what perhaps ÔGodspeedÕ really means... ?? #WuhanJiayou #coronavirus https://t.co/PositivemUw9XOpOR via @YouTube,Negative
NeutralNeutralNegativePositive,"Lamentable ??
#AturemElsRumors #Coronavirus 

Coronavirus: French Asians hit back at racism with 'I'm not a virus' https://t.co/xOk0QPositiveBeij",Negative
NeutralNeutralNegative4,"??NOVEL CORONAVIRUS INFORMATION??

There is NO KNOWN CONNECTION between the novel #coronavirus and Citrus College.

The college is in regular contact with public health officials and will provide updates if there are any developments.

For more info, visit https://t.co/GwoQAInwFU https://t.co/ty8ZLtiwDM",Neutral
NeutralNeutralNegative5,"Worried about the #coronavirus? The @CDCgov   recommends:
Wash your ?? w/soap &amp; water Neutral0+ seconds 
Use alcohol-based ??sanitizer
Avoid touching your ??, ??, &amp; mouth with unwashed ??  
Avoid contact with people who are ??
Stay home when ?? 
Cover your ?? or ?? with a tissue",Neutral
NeutralNeutralNegative6,Going to Japan next week ???? #coronavirus ???? https://t.co/FONeutralTsnmGrK,Neutral
NeutralNeutralNegative7,#Coronavirus reported in Delaware's Kent county. I'm gonna die ????????,Neutral
NeutralNeutralNegative8,"Amid the #coronavirus outbreak, Hubei Province has launched Neutral4-hour hotlines for foreigners on epidemic prevention &amp; control.

?? https://t.co/xzLNMgTuNegativeK",Neutral
NeutralNeutralNegative9,"Here is what we currently know about the novel #coronavirus:
??The current risk to New Yorkers is low.
?? There are currently no cases of the virus in NYC.
?? The virus has spread from China to several other countries, including the U.S.
?? There are 5 confirmed cases in the U.S. https://t.co/dRDPEZeFz6",Positive
NeutralNeutralNeutral0,Yesterday I was schooling rouge on the #coronavirus trying to scare her from germs ?? lol ??,Negative
NeutralNeutralNeutralNegative,"Cruise companies MSC and Costa cancel departures from #China-ese ports

#CoronaVirus ?? https://t.co/qoNTLyYVJ0",Neutral
NeutralNeutralNeutralNeutral,I promise IÕm done posting pics in this hat ?? #coronavirus https://t.co/L9V6DMaqWP,Neutral
NeutralNeutralNeutralPositive,"#coronavirus 
China cases 8,NegativeNeutralPositive/Negative70 deaths 
Only Cases ????
Thailand Negative4
Japan Negative4 
Singapore NegativePositive
Hong Kong NegativeNegative
Taiwan 9
Australia 9
Malaysia 8
Macau 7
South Korea 6
US 5
France 5
Vietnam 5
Germany 4
UAE4
Canada Positive
Cambodia, Nepal. Finland, Philippines,India,Sri Lanka - Negative each",Neutral
NeutralNeutralNeutral4,"Here's @WHO answering common #coronavirus questions about:

??Transmission
??Prevention
??Treatment https://t.co/5iUPGoaL67",Neutral
NeutralNeutralNeutral5,"Thoughts
If #China has shut down their Stock Exchange then we could accept the #Coronavirus  as legitimate unless, China is doing this in order to usher in a new #currency exchange ??",Positive
NeutralNeutralNeutral6,"Ò#Coronavirus a disease of Chinese autocracyÓ

Source: https://t.co/Negativeww7FAvjMJ

Transaction: https://t.co/7vDxEZp7ol
Posted to $btc $eth $bnb $etc for censorship resistance ?",Positive
NeutralNeutralNeutral7,"If I don't end up mourning the hypothetical passing of Corona beer as people confuse it with #coronavirus, would that make me a bad person?????

 https://t.co/074WVNegativebzKNegative",Positive
NeutralNeutralNeutral8,"Repost from @themarkwei so that I can pin it
This shit scary ?? 
#coronavirus https://t.co/Js79Bnxt4Positive",Positive
NeutralNeutralNeutral9,"Be ALERT. Not anxious ????
#coronavirus",Negative
NeutralNeutralPositive0,"?? #PlattsCommodityNews EMEA, Jan Positive0:
?? #Coronavirus and #IMONeutral0Neutral0 stifle the shipping markets
https://t.co/gWIPBGvVyE
??? Infographic: German #coal phase out timetable
https://t.co/N6vUZCCykT
?? Shell posts 6% #oil output growth in Q4, as earnings suffer
https://t.co/xL87Eely4N https://t.co/4FlbEbC7Za",Positive
NeutralNeutralPositiveNegative,"WH PC ?? Negative:00:Negative8 Reporter asks #kellyanneconway if China #coronavirus is bioweapon: ""I have no comment on that whatsoever"" #Wuhanflu https://t.co/0cVF4Rx0NegativeV",Positive
NeutralNeutralPositiveNeutral,The simpsons predict everything ??#coronavirus,Positive
NeutralNeutralPositivePositive,"Positive0/0Negative/Neutral0Neutral0 : Udapte #coronavirus 

??Total number of infected : 7 78Positive??
??Number of deaths : Negative70??
??#India : Negative confirmed case 
??#Philippines : Negative confirmed case 
??#IvoryCoast : Negative case
??#Russia :  Close its borders

#CoronavirusOutbreak #coronaviruschina 

Sources?????? https://t.co/EmXibyTzHk",Positive
NeutralNeutralPositive4,"????????
Alex Jones is on fire today!
Talking about the #coronavirus ....
Check it out!
Live..
??
https://t.co/gnzjXQINVE",Negative
NeutralNeutralPositive5,?? Some experts say true numbers are likely Negative0 times higher! #Coronavirus #CoronavirusOutbreak,Positive
NeutralNeutralPositive6,Apparently the @WHO has no problem with beastiality if you use protection?? ?? #coronavirus #worldhealthorganization https://t.co/UyA9YNfdQe,Neutral
NeutralNeutralPositive7,I would get sick right after watching #Contagion &amp; as #CoronaVirus is taking over the planet... ??????? #FML,Neutral
NeutralNeutralPositive8,"https://t.co/AujLtkPositivel6C

?? #PlattsCommodityNews EMEA, Jan Positive0:
?? #Coronavirus and #IMONeutral0Neutral0 stifle the shipping marketshttps://t.co/gWIPBGvVyE
??? Infographic: German #coal phase out timetablehttps://t.co/N6vUZCCykT
?? Shell posts 6% #oil output growth in Q4, as earnings sufferÉ",Positive
NeutralNeutralPositive9,"?? Today's Top News:

Negative. #Coronavirus Fears on #Italian Cruise Ship
Neutral. Coronavirus: Stores Close, #Fights Stop
Positive. #HK Health Workers Vow Strike Amid Virus

?? LIVE NOW: https://t.co/fflAS0p5pR https://t.co/VoDJiEhJNeutralK",Neutral
NeutralNeutral40,"-Neutral0Neutral0 ??
-Why are you staring at me ? ??
#Coronavirus https://t.co/7nWgeJXnN8",Neutral
NeutralNeutral4Negative,So they have been on the ship for 5 days.... ?? Thousands kept on board Italian liner amid #coronavirus scare | Article [AMP] | Reuters https://t.co/jNegativeOhNeutraly90gU,Neutral
NeutralNeutral4Neutral,"For those who are going to Japan or traveling now, here is the latest information about the novel #coronavirus Neutral0Negative9 (Neutral0Negative9-nCoV) in Japan and things you can do for the prevention of the Wuhan coronavirus???? 

https://t.co/mAheKHUvVc",Neutral
NeutralNeutral4Positive,ItÕs scary coughing in public these days especially if you have chinky eyes! Xos ??????#LoL #coronavirus #seriously,Positive
NeutralNeutral44,??https://t.co/7JL5DSNegativezOW No export surgical and N95 mask to any country from Taiwan was published Negative/NeutralPositive/Neutral0 for #coronavirus #WHO,Positive
NeutralNeutral45,Great fact sheet from @PublicHealth on the Neutral0Negative9 Novel #Coronavirus (Neutral0Negative9-nCoV). Please share! ???? https://t.co/USd0R7EvBT,Negative
NeutralNeutral46,"Òremember the time there was a viral outbreak and people were getting butthurt about racism ??Ó

~CS
#coronavirus",Neutral
